PERIOD,YEAR,STATS_VALUE
June,1992,59.8
July,1992,171.5
August,1992,218.4
September,1992,81.7
October,1992,131.4
November,1992,118.3
December,1992,143.1
January,1993,45.2
February,1993,29.3
March,1993,39.2
April,1993,76.8
August,1994,91
September,1994,207.4
October,1994,137.6
November,1994,36.2
December,1994,22
January,1995,109.2
February,1995,71.6
March,1995,154.8
April,1995,105.8
May,1995,119.2
June,1995,169.2
July,1995,209
August,1995,93
September,1995,85.4
October,1995,127
November,1995,87.6
December,1995,94
January,1996,33
February,1996,44.2
March,1996,103.4
April,1996,157
May,1996,133.2
June,1996,156.2
July,1996,160.8
August,1996,152.6
September,1996,114.8
October,1996,50.2
November,1996,48
December,1996,140.6
January,1997,19.6
February,1997,37.2
March,1997,86.6
April,1997,63.4
May,1997,126.6
June,1997,143
July,1997,48.2
August,1997,71
September,1997,208.4
October,1997,93.6
November,1997,52.2
December,1997,37.2
January,1998,11.2
February,1998,112.6
March,1998,83.4
April,1998,39.4
May,1998,73.2
June,1998,91.4
July,1998,304.4
August,1998,139.8
September,1998,71.4
October,1998,101.2
November,1998,68.8
December,1998,36.4
January,1999,108.6
February,1999,40
March,1999,58.4
April,1999,113.6
May,1999,33.6
June,1999,85
July,1999,133.4
August,1999,128.6
September,1999,54.4
October,1999,81
November,1999,176.6
December,1999,27.8
January,2000,115.4
February,2000,8.4
March,2000,57.2
April,2000,106.8
May,2000,128.2
June,2000,146.2
July,2000,148.8
August,2000,84.6
September,2000,66
October,2000,51.6
November,2000,72.6
December,2000,60.2
January,2001,56.6
February,2001,110.4
March,2001,19.6
April,2001,98.2
May,2001,209.8
June,2001,77
July,2001,95.2
August,2001,125.8
September,2001,56.6
October,2001,106.6
November,2001,118.8
December,2001,181.4
January,2002,92
February,2002,31.2
March,2002,122.6
April,2002,58.6
May,2002,95.8
June,2002,126.4
July,2002,143.2
August,2002,90.6
September,2002,76.2
October,2002,86.8
November,2002,43.6
December,2002,87.4
January,2003,108.6
February,2003,54.4
March,2003,145
April,2003,55.2
May,2003,86
June,2003,101.8
July,2003,99
August,2003,52.4
September,2003,167
October,2003,106.4
November,2003,73.8
December,2003,85
January,2004,70.4
February,2004,271.6
March,2004,8.8
April,2004,39.4
May,2004,216.8
June,2004,111.6
July,2004,77.4
August,2004,73
September,2004,76.8
October,2004,104.2
November,2004,41.8
December,2004,133.2
January,2005,16
February,2005,62.8
March,2005,39.8
April,2005,20.8
May,2005,150.2
June,2005,109.2
July,2005,161.8
August,2005,38.4
September,2005,91.6
October,2005,180.4
November,2005,40.8
December,2005,59.6
January,2006,79.2
February,2006,6.8
March,2006,64
April,2006,158.4
May,2006,191.2
June,2006,101.2
July,2006,68.6
August,2006,99.2
September,2006,44.4
October,2006,157.8
November,2006,89.3
December,2006,47
January,2007,59.8
February,2007,37.6
March,2007,132.6
April,2007,59
