"Week  of data collection (Either Week 4 or 5)","Name of location","Species...3","GPS location","Date","Soil CO2 efflux (Q, g CO2/m2/hour) / Before Rain ","Soil CO2 efflux (Q, g CO2/m2/hour) / After Rain ","Greenhouse gas emissions (CO2, ppm)","Greenhouse gas emissions (N2O, ppm)","Greenhouse gas emissions (CH4, ppm)","Soil temperature (°C)","Atmospheric/Surface temperature (°C)","Canopy cover (%)","Light Intensity (μmol/m²/s)","Soil volumetric water content (%)","Weather conditions","Water Sample No.","Date of Rain sample collection","Species...19","Rain Types","Time of Sample Removal","Rain Volume (ml)","Rain pH","Rain pH Temp (°C)","Rain Conductivity (µS/cm)","Rain Conductivity Temp (°C)","Organic Matter Percentage as determined by Soil Colour (%)","Soil Texture","Soil Conducivity (µS/cm) Measure One","Soil Conducivity (µS/cm) Measure Two","Soil Conducivity (µS/cm) Measure Three","Soil Conducivity (µS/cm) Mean","Soil Temperate (°C) at time of measurement","Soil PH Measure One","Soil PH Measure Two","Soil PH Measure Three","Soil PH Measure Mean","Rooibos mass lost (%)","Green mass lost (%)","part1","part2","rest","lon","lat"
5,"Lawn 3","Grass","(-36.84954042, 174.77094239)",2025-08-21,-0.08,NA,876.3,0.3335,1.991,9.13,NA,0,15.34,44.6,"Clear","9(2)","19/08/2025-20/08/2025","Grass","Rainfall",1899-12-31 10:00:00,40,5.99,14.7,75.3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84954042","174.77094239",NA,174.77094239,-36.84954042
5,"Lawn 4","Grass","(-36.84951874, 174.77095998)",2025-08-21,0.06,NA,1293,0.3415,1.961,8.2,NA,0,10.36,43.9,"Clear","10(2)","19/08/2025-20/08/2025","Grass","Rainfall",1899-12-31 10:00:00,20,6.22,16.3,49.9,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84951874","174.77095998",NA,174.77095998,-36.84951874
5,"Lawn 5","Grass","(-36.84947682, 174.77091654)",2025-08-21,0.13,NA,1181,0.3398,1.977,9,NA,0,12.19,45.5,"Clear","11(2)","19/08/2025-20/08/2025","Grass","Rainfall",1899-12-31 10:00:00,46,6.3,16,55.3,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84947682","174.77091654",NA,174.77091654,-36.84947682
5,"Lawn 6","Grass","(-36.84951415, 174.77087984)",2025-08-21,0.22,NA,1123,0.3395,1.967,9,NA,0,23.38,45.4,"Clear","12(2)","19/08/2025-20/08/2025","Grass","Rainfall",1899-12-31 10:00:00,24,6.53,17.1,49.5,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84951415","174.77087984",NA,174.77087984,-36.84951415
5,"Forest 1","Puriri tree base","(-36.84986, 174.77128)",2025-08-21,0.43,NA,1293,0.4113,1.969,10.3,12.8,73,3.8961,47.2,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84986","174.77128",NA,174.77128,-36.84986
5,"Forest 2","Puriri tree base","(-36.84983, 174.77122)",2025-08-21,0.86,NA,3273,0.4782,1.891,10.4,11.8,73,5.56665,44.2,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84983","174.77122",NA,174.77122,-36.84983
5,"Forest 3","Puriri tree base","(-36.84985, 174.77131 )",2025-08-21,1.16,NA,1359,0.3752,1.956,10.9,13.9,65,131.5905,41.4,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84985","174.77131",NA,174.77131,-36.84985
5,"Forest 4","Rimu tree base","(-36.84986, 174.77136 )",2025-08-21,0.24,NA,1289,0.3461,1.933,10.2,9.9,64,2.28845,28.7,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84986","174.77136",NA,174.77136,-36.84986
5,"Forest 5","Rimu tree base","(-36.84989, 174.77138)",2025-08-21,0.34,NA,1023,0.3418,1.95,10.3,12,78,6.6526,16.9,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84989","174.77138",NA,174.77138,-36.84989
5,"Forest 6","Rimu tree base","(-36.84986, 174.77135)",2025-08-21,0.48,NA,1372,0.5326,1.945,10.5,24.4,41,218.7995,40.8,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84986","174.77135",NA,174.77135,-36.84986
