PERIOD,YEAR,STATS_VALUE
June,1992,14.5
July,1992,14.7
August,1992,14.2
September,1992,15.3
October,1992,17
November,1992,20
December,1992,21.7
January,1993,22.8
February,1993,22.7
March,1993,21.5
April,1993,19.2
May,1993,17.6
June,1993,15.8
July,1994,13.9
August,1994,14.5
September,1994,15.4
October,1994,16.7
November,1994,19.1
December,1994,22.4
January,1995,23.7
February,1995,24.5
March,1995,22.7
April,1995,21.6
May,1995,17.9
June,1995,14.9
July,1995,13.8
August,1995,14.3
September,1995,16.6
October,1995,17.2
November,1995,19.3
December,1995,22.3
January,1996,24.9
February,1996,25
March,1996,22.1
April,1996,20.5
May,1996,16.9
June,1996,14.4
July,1996,14.3
August,1996,14.7
September,1996,17.5
October,1996,18.2
November,1996,19.6
December,1996,20.9
January,1997,22.3
February,1997,24.4
March,1997,22.1
April,1997,19.4
May,1997,18.1
June,1997,14.5
July,1997,13.9
August,1997,14.4
September,1997,15.6
October,1997,17.2
November,1997,19
December,1997,22.4
January,1998,24.3
February,1998,26.7
March,1998,23.5
April,1998,20.8
May,1998,18
June,1998,16.5
July,1998,16.1
August,1998,15.4
September,1998,16.9
October,1998,18.8
November,1998,20.8
December,1998,22.8
January,1999,26.1
February,1999,25.3
March,1999,24
April,1999,20.6
May,1999,18.2
June,1999,16.4
July,1999,15
August,1999,14.9
September,1999,16.7
October,1999,18.6
November,1999,20.2
December,1999,20.9
January,2000,23.4
February,2000,23.4
March,2000,22.6
April,2000,20.2
May,2000,18
June,2000,15.6
July,2000,15.8
August,2000,15.5
September,2000,16.7
October,2000,18
November,2000,18.5
December,2000,23
January,2001,22.9
February,2001,24.7
March,2001,23.3
April,2001,20.1
May,2001,17.8
June,2001,15.4
July,2001,13.8
August,2001,15.6
September,2001,16.8
October,2001,19.5
November,2001,20
December,2001,22.3
January,2002,23.5
February,2002,23.8
March,2002,22.9
April,2002,19.8
May,2002,17.3
June,2002,16.4
July,2002,14.6
August,2002,14.9
September,2002,16.7
October,2002,17.1
November,2002,18.4
December,2002,21.5
January,2003,23.1
February,2003,23.4
March,2003,22.6
April,2003,20.2
May,2003,18.2
June,2003,16.5
July,2003,13.8
August,2003,15.2
September,2003,16.7
October,2003,17.5
November,2003,19.2
December,2003,22.2
January,2004,24.5
February,2004,22.5
March,2004,20.8
April,2004,19.2
May,2004,17.8
June,2004,16.1
July,2004,13.9
August,2004,13.8
September,2004,15.9
October,2004,17.3
November,2004,20
December,2004,19.4
January,2005,23.2
February,2005,24.9
March,2005,23.9
April,2005,20.7
May,2005,18.6
June,2005,15.1
July,2005,15.3
August,2005,16
September,2005,17.4
October,2005,18.6
November,2005,19.9
December,2005,23
January,2006,24.4
February,2006,24.5
March,2006,22.8
April,2006,20.9
May,2006,17.4
June,2006,14
July,2006,14.4
August,2006,15
September,2006,17.2
October,2006,17.2
November,2006,19.5
December,2006,19
January,2007,23
February,2007,24
March,2007,23.6
April,2007,19.8
May,2007,18.5
June,2007,15.4
July,2007,14.9
August,2007,15.3
September,2007,16.8
October,2007,17.7
November,2007,19.3
December,2007,22.3
January,2008,25.2
February,2008,24.4
March,2008,23.6
April,2008,20.5
May,2008,16.5
June,2008,15.6
July,2008,14.7
August,2008,14.5
September,2008,16.6
October,2008,17.4
November,2008,19.8
December,2008,22.2
January,2009,23.5
February,2009,24.6
March,2009,21.8
April,2009,20.1
May,2009,15.8
June,2009,13.6
July,2009,14
August,2009,16
September,2009,17.1
October,2009,16.7
November,2009,18.9
December,2009,21.9
January,2010,23.8
February,2010,25.5
March,2010,23.2
April,2010,20.9
May,2010,17.8
June,2010,15.4
July,2010,14.2
August,2010,15.4
September,2010,16.8
October,2010,17.9
November,2010,20.4
December,2010,23.6
January,2011,24.3
February,2011,24.4
March,2011,22.9
April,2011,20.1
May,2011,18.8
June,2011,16.3
July,2011,14.9
August,2011,14.5
September,2011,16.2
October,2011,18.6
November,2011,19.2
December,2011,21.7
January,2012,22.3
February,2012,23.5
March,2012,21.4
April,2012,20.9
May,2012,17.2
June,2012,15.3
July,2012,14.9
August,2012,16.5
September,2012,16.6
October,2012,17.8
November,2012,18.9
December,2012,23
January,2013,24.5
February,2013,24.6
March,2013,24.4
April,2013,21.2
May,2013,17.6
June,2013,15.1
July,2013,15
August,2013,16
September,2013,16.9
October,2013,18.6
November,2013,21.6
December,2013,22.3
January,2014,22.9
February,2014,24.6
March,2014,22.9
April,2014,21.7
May,2014,18
June,2014,16.8
July,2014,14.4
August,2014,15
September,2014,17
October,2014,18
November,2014,19
December,2014,21.8
January,2015,25.4
February,2015,24.3
March,2015,24.3
April,2015,20.8
May,2015,17.3
June,2015,15.5
July,2015,14.1
August,2015,15.1
September,2015,16.1
October,2015,17.5
November,2015,20
December,2015,21.8
January,2016,24.6
February,2016,25.8
March,2016,23.7
April,2016,21.1
May,2016,19.8
June,2016,16.3
July,2016,15.1
August,2016,15.1
September,2016,16.9
October,2016,18.4
November,2016,19.6
December,2016,21.8
January,2017,22.9
