PERIOD,YEAR,STATS_VALUE
March,2021,21.4
April,2021,50.8
May,2021,83.2
June,2021,66.2
August,2021,75.2
September,2021,79.6
October,2021,46.2
November,2021,55.6
December,2021,75.8
January,2022,12
February,2022,91.6
March,2022,5.8
April,2022,52.8
May,2022,47
June,2022,114.2
July,2022,73
August,2022,131.6
September,2022,20.4
November,2022,108.4
December,2022,23.6
January,2023,13.2
February,2023,62
April,2023,63.2
May,2023,172.6
June,2023,51.2
July,2023,29.6
August,2023,51.8
September,2023,134.4
October,2023,63.4
November,2023,34.8
December,2023,60.8
January,2024,65.2
February,2024,40.4
March,2024,85.6
May,2024,31.4
June,2024,36.2
August,2024,53.8
September,2024,202.2
November,2024,57.6
December,2024,69.8
January,2025,26.8
February,2025,20
