PERIOD,YEAR,STATS_VALUE
May,1975,438.9
June,1975,124.5
July,1975,435.7
August,1975,453.6
September,1975,210.7
October,1975,325.8
November,1975,356.7
December,1975,295.7
January,1976,415.2
February,1976,107.8
March,1976,232.3
April,1976,157.3
May,1976,304.7
June,1976,301.5
July,1976,183.7
August,1976,184.9
September,1976,133.8
October,1976,260.2
November,1976,171
December,1976,505.9
January,1977,401
February,1977,230.5
March,1977,183.9
April,1977,299.3
May,1977,183.3
June,1977,260
July,1977,173.9
August,1977,113.3
September,1977,256.4
October,1977,284.9
November,1977,274.7
December,1977,256.4
January,1978,484
February,1978,55.2
March,1978,254.4
April,1978,394.5
May,1978,225.8
June,1978,113.7
July,1978,228.9
August,1978,391.9
September,1978,452
October,1978,212.7
November,1978,279.2
December,1978,308.8
January,1979,290.6
February,1979,262.1
March,1979,839.7
April,1979,483.6
May,1979,437.4
June,1979,198.1
July,1979,242.6
August,1979,257.9
September,1979,559.4
October,1979,579
November,1979,240.5
December,1979,570.7
January,1980,373.9
February,1980,267.8
March,1980,201.3
April,1980,290.1
May,1980,248.1
June,1980,203.2
July,1980,232.7
August,1980,379.9
September,1980,593.1
October,1980,223.9
November,1980,445.4
December,1980,201.7
January,1981,143.7
February,1981,434.8
March,1981,632
April,1981,370
May,1981,162.1
June,1981,400.4
July,1981,376.9
August,1981,79.1
September,1981,376
October,1981,336.1
November,1981,256.6
December,1981,492.8
January,1982,678.6
February,1982,376.8
March,1982,455.9
April,1982,142.8
May,1982,444.5
June,1982,128.4
July,1982,173.6
August,1982,318.2
September,1982,231.6
October,1982,207.7
November,1982,448.9
December,1982,379.8
January,1983,578.7
February,1983,118.8
March,1983,411.7
April,1983,474.1
May,1983,388.3
June,1983,285.7
July,1983,301.3
August,1983,230.2
September,1983,560.9
October,1983,416.1
November,1983,354.9
December,1983,518.6
January,1984,283.6
February,1984,212.7
March,1984,498
April,1984,216.7
May,1984,191.2
June,1984,317.8
July,1984,476.1
August,1984,317.4
September,1984,223.6
October,1984,378.3
November,1984,275.2
December,1984,665.4
January,1985,419
February,1985,157.6
March,1985,73.7
April,1985,284.3
May,1985,195.8
June,1985,281.3
July,1985,237.3
August,1985,281.3
September,1985,259.2
October,1985,150.9
November,1985,450.5
December,1985,387.7
January,1986,306.5
February,1986,232.9
March,1986,251.8
April,1986,203.6
May,1986,251.2
June,1986,450.8
July,1986,230.9
August,1986,89.4
September,1986,228.9
October,1986,355.1
November,1986,222
December,1986,277.1
January,1987,577.9
February,1987,276.7
March,1987,274.3
April,1987,257.3
May,1987,447.6
June,1987,347.7
July,1987,140.4
August,1987,308.9
September,1987,377.9
October,1987,457.3
November,1987,240.8
December,1987,379.7
January,1988,241.3
February,1988,394.6
March,1988,273.4
April,1988,306.1
May,1988,291.5
June,1988,306.1
July,1988,453.2
August,1988,399.2
September,1988,419.4
October,1988,847.4
November,1988,339.8
December,1988,321.6
January,1989,263.9
February,1989,209.8
March,1989,459.5
April,1989,282.1
May,1989,176.8
June,1989,314.4
July,1989,141.2
August,1989,149.6
September,1989,174.2
October,1989,320.6
November,1989,333
December,1989,517.6
January,1990,279.8
February,1990,213.1
March,1990,170.5
April,1990,455.4
May,1990,474.6
June,1990,382.9
July,1990,319.6
August,1990,246.4
September,1990,124.7
October,1990,474.1
November,1990,298.3
December,1990,614.6
January,1991,803.5
February,1991,254
March,1991,89.8
April,1991,391
May,1991,133.6
June,1991,154.5
July,1991,263.3
August,1991,474.8
September,1991,522
October,1991,274.8
November,1991,205.2
December,1991,468.1
January,1992,313.5
February,1992,288.5
March,1992,264.4
April,1992,129.9
May,1992,149.2
June,1992,199.6
July,1992,329.9
August,1992,558.9
September,1992,99.4
October,1992,568.2
November,1992,213.6
December,1992,327.3
January,1993,429.8
February,1993,231.7
March,1993,361.6
April,1993,192.4
May,1993,360.4
June,1993,592.3
July,1993,175.7
August,1993,83.3
September,1993,153.9
October,1993,523.5
November,1993,142.4
December,1993,327.5
January,1994,869.8
February,1994,163.9
March,1994,367.6
April,1994,201.4
May,1994,373.1
June,1994,421.5
July,1994,311.3
August,1994,329.2
September,1994,282.8
October,1994,210.7
November,1994,584.2
December,1994,152.9
January,1995,281.3
February,1995,205.2
March,1995,534.6
April,1995,452.9
May,1995,350.1
June,1995,203.9
July,1995,347.8
August,1995,274.1
September,1995,899
October,1995,288.9
November,1995,394.7
December,1995,813.6
January,1996,104.3
February,1996,368.8
March,1996,404.6
April,1996,568
May,1996,312.4
June,1996,189.3
July,1996,89.5
August,1996,229.8
September,1996,416.4
October,1996,864.9
November,1996,408.2
December,1996,227.1
January,1997,74.8
February,1997,396.5
March,1997,146.4
April,1997,336.3
May,1997,347.7
June,1997,134.2
July,1997,221.9
August,1997,440.9
September,1997,89.9
October,1997,286.9
November,1997,553.5
December,1997,489.2
January,1998,464.4
February,1998,435.1
March,1998,393.2
April,1998,331
May,1998,252.1
June,1998,394.6
July,1998,458.8
August,1998,275.8
September,1998,400
October,1998,720.4
November,1998,49.1
December,1998,426.4
January,1999,196.4
February,1999,251.5
March,1999,420
April,1999,285.2
May,1999,307.9
June,1999,172.4
July,1999,241.9
August,1999,231.4
September,1999,266.7
October,1999,658.4
November,1999,336.9
December,1999,234.9
January,2000,361.1
February,2000,173.8
March,2000,129.1
April,2000,546.7
May,2000,464.7
June,2000,348.5
July,2000,238.9
August,2000,216.4
September,2000,357.8
October,2000,425.2
November,2000,157.4
December,2000,320.8
January,2001,183.6
February,2001,188.2
March,2001,290
April,2001,128.6
May,2001,246.2
June,2001,415.5
July,2001,66.5
August,2001,305.5
September,2001,269.9
October,2001,398.1
November,2001,703.7
December,2001,743.6
January,2002,465.3
February,2002,289.1
March,2002,504.4
April,2002,282.5
May,2002,200.8
June,2002,838.7
