Feature,Importance
WS,12.6337802029444
sinWD,9.2008807474834
cosWD,8.76601487959397
RH_x_WS,8.69871982949823
T_x_WS,8.56284971577929
VPD,8.55894022365205
RH,7.62264327894176
T,6.67200060588081
T_x_RH,6.23262423595123
