model,slope,intercept,r2,n
overall_burn_vs_alignment,-13.8083623488937,21.84,0.0741864569759684,192
tailwind_burn_vs_speed,-0.054471275650932,12.1538996366417,0.00022608512029354,72
crosswind_burn_vs_speed,0.413279504989982,16.788441217446,0.00663178020218647,96
headwind_burn_vs_speed,0.379000000000001,27.785,0.00204482420667818,24
