PERIOD,YEAR,STATS_VALUE
November,1984,187.5
December,1984,402.3
January,1985,327.3
February,1985,118
March,1985,144.6
April,1985,182.3
May,1985,160.6
June,1985,362.9
July,1985,340.2
August,1985,255.1
September,1985,167.6
October,1985,109.3
November,1985,223.8
December,1985,317.1
January,1986,606.8
February,1986,291.6
March,1986,90.9
April,1986,217.5
May,1986,341.4
June,1986,268.8
July,1986,300.1
August,1986,316.9
September,1986,349.1
October,1986,389.2
November,1986,151.9
December,1986,181.7
January,1987,228.2
February,1987,115.2
March,1987,315.5
April,1987,267.8
May,1987,317.1
June,1987,222
July,1987,166.1
August,1987,263.8
September,1987,336.9
October,1987,458.4
November,1987,257.9
December,1987,435.5
January,1988,83.2
February,1988,150.4
March,1988,254.3
April,1988,84.1
May,1988,383
June,1988,321.4
July,1988,454.1
August,1988,320.9
September,1988,302.9
October,1988,371.6
November,1988,320.7
December,1988,164.5
January,1989,214.9
February,1989,241.4
March,1989,231
April,1989,240.4
May,1989,360.9
June,1989,494
July,1989,372
August,1989,163.3
September,1989,172.8
October,1989,484.4
November,1989,262.6
December,1989,249.7
January,1990,295.2
February,1990,170.1
March,1990,827.7
April,1990,343.7
May,1990,300.4
June,1990,261.2
July,1990,288
August,1990,386.6
September,1990,151.5
October,1990,307.1
November,1990,436.7
December,1990,129
January,1991,370.1
February,1991,221.3
March,1991,105.5
April,1991,446.5
May,1991,142.9
June,1991,213.3
July,1991,295.6
August,1991,360.6
September,1991,227.1
October,1991,324.7
November,1991,135.5
December,1991,273.8
January,1992,563.7
February,1992,363.9
March,1992,245.6
April,1992,103.5
May,1992,186.2
June,1992,148.3
July,1992,410.3
August,1992,414.4
September,1992,243.6
October,1992,494
November,1992,190.2
December,1992,356.8
January,1993,128
February,1993,100.9
March,1993,220.2
April,1993,149.2
May,1993,477.7
June,1993,382.7
July,1993,63.3
August,1993,240.8
September,1993,243.2
October,1993,296.9
November,1993,273.9
December,1993,186.8
January,1994,192.3
February,1994,112.3
March,1994,325.2
April,1994,206.8
May,1994,268.6
June,1994,504.2
July,1994,277.5
August,1994,341.7
September,1994,352.2
October,1994,231.2
November,1994,487
December,1994,122.5
January,1995,190.8
February,1995,361.4
March,1995,404.2
April,1995,415.2
May,1995,301
June,1995,340.8
July,1995,375.9
August,1995,354.1
September,1995,454.2
October,1995,360.7
November,1995,409.1
December,1995,243.9
January,1996,171.5
February,1996,263
March,1996,191
April,1996,413.1
May,1996,349.4
June,1996,283.7
July,1996,312.5
August,1996,341.1
September,1996,329.2
October,1996,332.4
November,1996,243.6
December,1996,259.2
January,1997,153.5
February,1997,172.6
March,1997,175
April,1997,222.1
May,1997,138.7
June,1997,254.9
July,1997,169.9
August,1997,290.8
September,1997,262.4
October,1997,340.9
November,1997,250
December,1997,403.3
January,1998,253.9
February,1998,224.9
March,1998,240.4
April,1998,218.3
May,1998,383.4
June,1998,430.3
July,1998,778
August,1998,227.1
September,1998,485.7
October,1998,1359.7
November,1998,141.2
December,1998,185.4
January,1999,353.3
February,1999,100.3
March,1999,300.5
April,1999,187.3
May,1999,414.6
June,1999,307.4
July,1999,297.8
August,1999,391.2
September,1999,221.3
October,1999,306.8
November,1999,378
December,1999,261.6
January,2000,354.8
February,2000,90.4
March,2000,96.9
April,2000,308.3
May,2000,376.7
June,2000,223.9
July,2000,193.1
August,2000,253.5
September,2000,413.8
October,2000,339.5
November,2000,129.9
December,2000,278.5
January,2001,90.2
February,2001,129.8
March,2001,145.2
April,2001,82.3
May,2001,356.5
June,2001,297.5
July,2001,218.7
August,2001,403.5
September,2001,116.8
October,2001,572.5
November,2001,414.2
December,2001,666.9
January,2002,199.3
February,2002,316.3
March,2002,156
April,2002,154.6
May,2002,250.2
June,2002,386.1
July,2002,188.8
August,2002,302.7
September,2002,433.7
October,2002,184.5
November,2002,194.5
December,2002,299.1
January,2003,88
February,2003,61.1
March,2003,296.6
April,2003,101.8
May,2003,361.8
June,2003,489.7
July,2003,241.6
August,2003,194.1
September,2003,482.8
October,2003,400.3
November,2003,258.5
December,2003,367
January,2004,264
February,2004,939.1
March,2004,109.6
April,2004,233.2
May,2004,332.8
June,2004,396.4
July,2004,319.1
August,2004,275.7
September,2004,519.6
October,2004,287.4
November,2004,203.9
December,2004,332.9
January,2005,130.1
February,2005,200.7
March,2005,264.3
April,2005,136.1
May,2005,403.9
June,2005,266.6
July,2005,352.9
August,2005,116.6
September,2005,263
October,2005,203
November,2005,85.1
December,2005,311.2
January,2006,202.6
February,2006,118.1
March,2006,115.7
April,2006,289.9
May,2006,402.9
June,2006,310.9
July,2006,202.7
August,2006,303.8
September,2006,148.1
October,2006,410.7
November,2006,532.1
December,2006,314
January,2007,215.9
February,2007,49.5
March,2007,265.3
April,2007,195.7
May,2007,216.4
June,2007,381.3
July,2007,444.7
August,2007,292.9
September,2007,104.3
October,2007,371.6
November,2007,184.6
December,2007,264.9
January,2008,186.5
February,2008,137
March,2008,290.3
April,2008,482.2
May,2008,85.7
June,2008,312.2
July,2008,713
August,2008,346.3
September,2008,273.1
October,2008,441.3
November,2008,355.4
December,2008,359.9
January,2009,139
February,2009,404.6
March,2009,124.9
April,2009,222.5
May,2009,199.3
June,2009,172
July,2009,229.1
August,2009,347.3
September,2009,482.1
October,2009,267.5
November,2009,305.9
December,2009,308.8
January,2010,198.4
February,2010,208.2
March,2010,100.7
April,2010,155.9
May,2010,383.2
June,2010,495.6
July,2010,116.9
August,2010,463.5
September,2010,631.2
October,2010,163.7
November,2010,127.2
December,2010,431.9
January,2011,149.4
February,2011,153.6
March,2011,296.1
April,2011,280
May,2011,503.4
June,2011,476.4
July,2011,231
August,2011,191.1
September,2011,180.9
October,2011,628.4
November,2011,251.3
December,2011,549.7
January,2012,147
February,2012,349.2
March,2012,348.1
April,2012,99.1
May,2012,299.2
June,2012,307.6
July,2012,459.2
August,2012,358.4
September,2012,314.8
October,2012,380.9
November,2012,160.8
December,2012,368.2
January,2013,150.7
February,2013,161
March,2013,154.9
April,2013,326.9
May,2013,399.1
June,2013,263
July,2013,190.6
August,2013,238.7
September,2013,370.7
October,2013,387
November,2013,126.4
December,2013,281.3
January,2014,263.1
February,2014,38.7
March,2014,68.7
April,2014,463.9
May,2014,232.1
June,2014,382.1
July,2014,170.5
August,2014,244.8
September,2014,252.2
October,2014,266.2
November,2014,264.5
December,2014,318.4
January,2015,60.4
February,2015,198.6
March,2015,277.6
April,2015,459.7
May,2015,486.1
June,2015,504.6
July,2015,346.5
August,2015,513.2
September,2015,230.8
October,2015,192.9
November,2015,194.6
