PERIOD,YEAR,STATS_VALUE
January,2022,17.1
February,2022,15.5
March,2022,15.4
April,2022,10.5
May,2022,8.8
June,2022,5
July,2022,4.2
August,2022,5.9
September,2022,7.7
October,2022,9.9
November,2022,13
December,2022,15.2
January,2023,17.7
February,2023,16.8
March,2023,12.9
April,2023,10.8
May,2023,8.7
June,2023,4
July,2023,5.2
August,2023,5.3
September,2023,8.8
October,2023,10
November,2023,12.2
December,2023,15.7
January,2024,16.2
February,2024,15
March,2024,12
April,2024,10.7
May,2024,5.3
June,2024,5.2
July,2024,3.9
August,2024,5.8
September,2024,7.6
October,2024,9.8
November,2024,12.5
December,2024,16
January,2025,15.9
February,2025,17.4
March,2025,14.1
April,2025,11.5
