YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
2007,112.8,7.7,126.9,64,36.2,107.1,182,123.7,51.1,94.2,35.7,76.9,1018.3
2008,15.5,16.4,71.5,192.7,72.3,135.9,247.8,213.9,69.8,133.2,39.2,110.4,1318.6
2009,14.6,138.5,66.5,32.1,88.4,126.1,142.5,154.6,99.1,140.4,41.9,50.8,1095.5
2010,188.9,38.5,18.3,95.2,159.8,171.9,36.8,257.1,187.6,26,38.8,92.1,1311
2011,316.4,8.5,164.5,124.6,188.6,116.1,125.2,39.4,53.7,116.3,39.7,188.9,1481.9
2012,92.3,74.7,103.6,70.5,193.6,74.6,134.5,142.8,116.5,92.6,29.7,92.6,1218
2013,12.6,10.1,28.5,95.3,119.8,161.8,41.3,141,146.3,68.6,93.1,127.9,1046.3
2014,35.5,21.9,26.9,203.9,84.9,123.5,47.9,91,146.1,98.9,75.1,102.7,1058.3
2015,26.1,83.4,54.2,151.9,131.1,112.9,135.8,163.3,129.8,39.3,107.3,23.2,1158.3
2016,170,139.8,101.4,49.7,138.8,150.6,125.5,108.8,108.3,84.4,118.4,51.9,1347.6
2017,34.9,167,248.5,,,,,,,,,,
